alg,seed,fitness,theta,gens,time_sec,pop_size,w,c1,c2
PSO,4,2.7522392500589632e-05,"[-1.5982443761828716e-05, 1.2306340850030781e-06, 6.010867127122096e-07, 3.8657884041623705e-06, 3.2416927274455235e-06, -1.1120184696425978e-06]",50,0.02,30,0.4,1.5,1.0
PSO,0,6.682138613856026e-05,"[2.3516264823677368e-05, 3.8981042043668275e-06, -2.319603906277389e-05, 1.4408669607336215e-05, -1.4628773087354246e-05, -1.2074364350625652e-05]",50,0.02,30,0.4,1.5,1.5
PSO,1,2.5375133806182504e-05,"[3.0338239288363714e-06, -1.2671600906218028e-06, -9.33213016911671e-06, 3.2707498600430783e-06, 1.0368066020435344e-05, -5.0326650255841704e-06]",50,0.02,30,0.4,1.5,1.5
PSO,2,3.78093144921543e-05,"[9.129039627447074e-06, 1.6575546377645882e-05, 3.180880741598776e-07, 1.6742499643895119e-06, -9.439050132956542e-06, 9.265859221461594e-06]",50,0.02,30,0.4,1.5,1.5
PSO,3,4.0696147490582035e-05,"[4.094393283713401e-06, 1.2510665650382662e-05, -1.286284063713813e-05, 5.584966831072621e-06, -5.157660221491242e-06, -1.4979024088582352e-05]",50,0.02,30,0.4,1.5,1.5
PSO,4,0.0001009958831699187,"[-2.481976388561887e-05, -2.67310053901066e-05, 2.857664206685573e-06, -3.97620400843451e-05, -2.1975700132042327e-05, 2.0489235616479208e-05]",50,0.02,30,0.4,1.5,1.5
PSO,0,0.0025164133827861868,"[2.1808186472769848e-05, -0.0006501992370934494, -2.5434285748475948e-05, 0.0009682048206821978, -0.0008169280654425782, 0.0005540640390324118]",50,0.02,30,0.7,1.0,1.0
PSO,1,0.006311301966637206,"[-0.0007722360797281845, -0.0021792145985320074, 0.00047367148280351456, -0.002729406759978195, 0.0011152313267975551, -0.0002787152368554037]",50,0.02,30,0.7,1.0,1.0
PSO,2,0.006357808087127825,"[0.0004710578324109264, 0.002022536638740329, -0.00023529643617145428, 0.0021177475160064924, 0.00012513556450945677, 0.0023833234796813586]",50,0.02,30,0.7,1.0,1.0
PSO,3,0.0018256948481547575,"[0.00027018404051953865, -0.000401805619161022, 0.00018616173070494957, 0.0008944481533172528, 0.0004055096000460481, 3.731265914323797e-05]",50,0.02,30,0.7,1.0,1.0
PSO,4,0.006102220840642492,"[0.00016580253028547444, -0.0004424253674876772, -0.0011828292185262167, -0.0019450367382066146, -0.0021746204464794666, 0.0018136911413331605]",50,0.02,30,0.7,1.0,1.0
PSO,0,0.01621356435840271,"[0.0006884697779446537, -0.002923599072498121, -0.004048205142696437, -0.006911976445957271, -0.001462491416794878, -0.00372380535320346]",50,0.02,30,0.7,1.0,1.5
PSO,1,0.014651372427977538,"[-0.0019202331489412035, 0.0032961419753050735, -0.0037338237806144384, -0.004256240923805488, -0.004341386206522897, -0.0028345592293566296]",50,0.02,30,0.7,1.0,1.5
PSO,2,0.011211752607451775,"[0.0026585477568629896, 0.001101732394639364, 0.0014273095295374554, -0.0023865329733253563, 0.004807428023338647, -0.002189150920766156]",50,0.02,30,0.7,1.0,1.5
PSO,3,0.03447432327307043,"[-0.008413342753899072, -0.004284850319487372, -0.010303168846386336, 0.008588098853882911, 0.009774672149061752, 0.0010765786250535522]",50,0.02,30,0.7,1.0,1.5
PSO,4,0.01666195187321451,"[0.002303415154232217, -0.00010027212799894303, -0.0011974850895117345, 0.0007393076987748251, -0.004038731577905507, 0.008387082971838317]",50,0.02,30,0.7,1.0,1.5
PSO,0,0.003209047090532824,"[0.00031591866218248863, -0.0011493547905019935, -0.00014974603258223473, 0.0012916944665360107, -0.0008092244646911474, 0.00012174483723981385]",50,0.02,30,0.7,1.5,1.0
PSO,1,0.004350873448608628,"[-0.0010561554423139802, -0.0012785667470717659, 0.0018771155921956614, 0.0005532155714660106, -0.0003877912499214715, -0.0004124872360358671]",50,0.02,30,0.7,1.5,1.0
PSO,2,0.013199167973056536,"[0.006782456736939834, 0.0019484931638430979, 0.0009604973973104383, -0.0022935935146224094, -0.0005233482637230415, -0.0019745334316909656]",50,0.02,30,0.7,1.5,1.0
PSO,3,0.004678650560262287,"[-0.000425122679538658, -0.001015751527063775, 0.0007563428055719456, -0.0007234978135627376, -0.0023738543160384666, 0.00013918545433570925]",50,0.02,30,0.7,1.5,1.0
PSO,4,0.011836999959517147,"[-0.005486471915298018, -0.0007755416064715042, -7.506700791569404e-05, -0.0025140425352546585, 0.0027069450585510764, -0.002101005611879547]",50,0.02,30,0.7,1.5,1.0
PSO,0,0.0701191414202893,"[0.01340046077577194, 0.027378865702471188, -0.01884338935321237, -0.0023766568119502132, 3.899168407600628e-05, -0.0014470876826057945]",50,0.02,30,0.7,1.5,1.5
PSO,1,0.04651273562543823,"[0.005562404784528212, -0.01734596501654996, -0.0007211947071652167, -0.012536639096473115, 0.0019131964485901883, -0.011638137846851245]",50,0.02,30,0.7,1.5,1.5
PSO,2,0.056785951132188206,"[0.01899090709748677, -0.0072873897501028505, 0.012939322474405573, 0.00586144657356593, -0.0010555259126856066, 0.016689449686670986]",50,0.02,30,0.7,1.5,1.5
PSO,3,0.01999780025638076,"[0.003369636735191692, -0.006598270514651228, 0.003101158678411816, -0.005312810047464541, 0.0059162201145280206, -0.0022530240017235494]",50,0.02,30,0.7,1.5,1.5
PSO,4,0.026382911965776135,"[0.0008288018320918647, -0.005273210004024684, -0.011991552117994943, -0.005329899245163937, -0.004666324029872702, 0.0009099084487680896]",50,0.02,30,0.7,1.5,1.5
PSO,0,4.256539338776122e-07,"[-1.2860290002026295e-07, -4.518765248095378e-09, 1.336856743257875e-07, 1.635892739841486e-07, 4.308822700473248e-08, 6.99553695249612e-08]",50,0.04,50,0.4,1.0,1.0
PSO,1,2.1200536319753565,"[0.9392898391581564, -6.3703347805959e-05, -5.6444770592048176e-05, -5.7268745388031925e-05, 0.9391066822521751, -5.448781850019072e-05]",50,0.04,50,0.4,1.0,1.0
PSO,2,7.802322099514925e-07,"[-1.8041456154562812e-07, -8.366217536139497e-08, 1.0985460234824145e-07, -3.9470887618685856e-07, -1.0500568608831613e-07, -9.922994184444225e-08]",50,0.04,50,0.4,1.0,1.0
PSO,3,1.5017600559794144,"[0.9077248403099241, 0.0008943204927900547, 0.0006525621846211177, 0.0004065912583877093, 9.553668799907195e-05, 9.092165414836397e-05]",50,0.04,50,0.4,1.0,1.0
PSO,4,1.299134166021787e-06,"[2.818763893737318e-07, 2.0489807960970983e-08, 3.7608739770955485e-07, -1.378865462480342e-07, 5.90986208100196e-07, -2.0810420628644397e-07]",50,0.04,50,0.4,1.0,1.0
PSO,0,5.895332922722929e-06,"[-1.5695655548609738e-07, 2.1368199105111455e-06, -2.410063899819715e-06, -1.1557171219100043e-06, -1.1125666237585852e-06, 2.45082938808682e-07]",50,0.05,50,0.4,1.0,1.5
PSO,1,3.692309718861253e-06,"[8.441502020871545e-07, -9.03870685922303e-08, -1.4680771155493653e-06, 9.541484864855504e-07, -2.6733438349948015e-07, 1.120013028093643e-06]",50,0.05,50,0.4,1.0,1.5
PSO,2,1.5017465676068906,"[1.425762746640207e-07, -2.027722302264099e-06, -2.250321998635831e-06, 1.0493704603537435e-06, 0.9078138149107446, 1.8587488282848324e-06]",50,0.04,50,0.4,1.0,1.5
PSO,3,1.4633516290718518e-05,"[5.550856600691188e-06, 4.0534510630544865e-06, -3.860552260655159e-07, 4.07475262351272e-06, 2.827095179534847e-06, 2.882189024659853e-06]",50,0.04,50,0.4,1.0,1.5
PSO,4,3.0751596367117884e-06,"[1.7397337553252287e-07, 6.509644433665798e-07, 8.415287866321377e-07, 2.2172280202127477e-08, 1.168357345998133e-06, -1.009164168181268e-06]",50,0.04,50,0.4,1.0,1.5
PSO,0,1.0355098333025836e-05,"[3.097193610486944e-06, 4.080227427587257e-06, -1.1286277772669724e-06, 1.7789525857780731e-06, -2.8808645479611224e-06, 1.108617945198365e-06]",50,0.04,50,0.4,1.5,1.0
PSO,1,1.132535093706366e-06,"[4.112789005029412e-07, -1.974462687352458e-07, 6.426506597277554e-08, 3.4781019306355124e-07, -3.665358553570007e-07, 1.1575382424088253e-07]",50,0.04,50,0.4,1.5,1.0
PSO,2,2.077931210653361e-06,"[8.44098983338933e-07, 8.461560064685026e-07, -4.235393070682349e-07, 2.605127258198671e-08, 6.1262751156663224e-09, 1.0279627566895706e-07]",50,0.04,50,0.4,1.5,1.0
PSO,3,1.0175261384581802e-06,"[-4.1410404284346665e-07, -8.655711524258368e-08, 1.403404291028041e-07, -1.9822719620659445e-07, 1.1889443130180965e-07, 3.689952941097591e-07]",50,0.04,50,0.4,1.5,1.0
PSO,4,5.012396301129485e-06,"[-5.187834814241599e-08, -1.9311768193558954e-06, 1.2970083413228078e-07, -1.1565294165037714e-06, -1.734983683702906e-06, 1.150887975644021e-06]",50,0.04,50,0.4,1.5,1.0
PSO,0,1.7239787422074215e-05,"[-7.801818820723704e-07, -4.3173353958080736e-06, -2.4042156098752645e-06, -5.6576628462227e-06, -2.3320630368059487e-06, 6.997504821905884e-06]",50,0.04,50,0.4,1.5,1.5
PSO,1,3.369722470170089e-05,"[6.898850245832313e-06, 4.272601129530104e-06, 9.001285633360743e-07, -2.427257193119349e-06, 1.6779990954042565e-05, -8.461616436196988e-06]",50,0.04,50,0.4,1.5,1.5
PSO,2,3.619271446497763e-05,"[-1.572826641365315e-05, -1.3843299391465434e-05, -2.1572550925398935e-06, -4.796529743579272e-06, -2.5058382508333223e-07, 4.935621388739757e-06]",50,0.04,50,0.4,1.5,1.5
PSO,3,1.0554854679600822e-05,"[-7.884372653979622e-07, 4.98761060377631e-07, -5.565080868652916e-06, 1.0829010397323713e-06, 2.7220336946443566e-06, -1.162437406821276e-06]",50,0.04,50,0.4,1.5,1.5
PSO,4,2.528723272776645e-05,"[-2.8717880629784267e-06, -3.6265746431502795e-06, 1.2142540938406346e-05, -4.94887214045446e-06, 5.71927019478814e-06, -3.7026067052126256e-06]",50,0.04,50,0.4,1.5,1.5
PSO,0,0.0013445693840741235,"[-2.968774127666161e-05, -0.0003638238608783928, -0.00022837751974512008, -0.0003687096633538446, 0.0004767597825845034, -0.0003511362791550557]",50,0.04,50,0.7,1.0,1.0
PSO,1,0.0006707929578984029,"[0.0002986974348438993, -9.231919523218713e-05, -1.4914900765618765e-05, -0.000233032685271327, 2.00281798327949e-05, 0.00012375812966089754]",50,0.04,50,0.7,1.0,1.0
PSO,2,0.0019222723782523765,"[0.00015809718865465364, 0.0007847754900169221, 0.00040059767163120306, -0.0005775609494770781, 4.3860693043510117e-05, 0.00048101409840275566]",50,0.04,50,0.7,1.0,1.0
PSO,3,0.0010711011891975097,"[-6.068894252882705e-06, -0.0005409536919823096, 0.00014078640235570534, 1.5510996919155346e-05, 0.00025643363128144604, 0.00022066657372194067]",50,0.04,50,0.7,1.0,1.0
PSO,4,0.0026077276492171286,"[0.0007391284140627706, 3.870425487122954e-05, 0.00021631720079434447, 1.3366142144490088e-05, -0.0010239684216677143, 0.0009292299203921904]",50,0.04,50,0.7,1.0,1.0
PSO,0,0.013331993513375995,"[0.0070656647621511895, -0.0031962347457409005, -4.054814863954821e-05, -0.0006502540387747424, 0.0007688538857273904, -0.00040977797658891374]",50,0.04,50,0.7,1.0,1.5
PSO,1,0.006036596311358,"[-0.0013157972191815718, 0.001067714828510903, 0.0010393642428382513, 0.0015543196812748774, -0.0014480565308901162, 0.0021628171493155595]",50,0.04,50,0.7,1.0,1.5
PSO,2,0.021827179386978646,"[0.0014568597347375326, -0.004841996395006293, 0.0018225053413047523, 0.0007526711145368166, 0.01052106322690554, 0.004060501203209835]",50,0.04,50,0.7,1.0,1.5
PSO,3,0.006795029879779424,"[0.0018607261162028959, 0.0004028726729201912, -0.002552338788108944, -0.0009632838024758079, 0.0010103371876046723, -0.0021178719849528687]",50,0.04,50,0.7,1.0,1.5
PSO,4,0.018196237483639965,"[-0.0011759807366311832, -0.0016638775013601147, 0.008027627211004779, 0.00036381391244403823, -0.005418462904029138, 0.003604290394656308]",50,0.04,50,0.7,1.0,1.5
PSO,0,0.0031043831708044145,"[0.0007149542951965795, -0.0007347115155875348, -4.983397287282223e-05, -0.0012286145799856357, -4.538658361569192e-05, -0.0009879978119307353]",50,0.04,50,0.7,1.5,1.0
PSO,1,0.004972197317283378,"[0.0009920744328277382, -0.0019895119335129052, 0.001068649200257165, -0.0008889647875178441, -0.0006409386028729847, -0.0013003295004798835]",50,0.04,50,0.7,1.5,1.0
PSO,2,0.003203303693851911,"[-8.234147520860238e-05, -0.00020075577216230962, -0.0017731367592400081, 0.0004228234192394589, 0.0002625577335711633, -0.0005737499095125769]",50,0.04,50,0.7,1.5,1.0
PSO,3,0.004815748757093008,"[0.0013595600695422067, -0.0010654219839921612, -0.00038439784147161317, -0.0008255018319956323, 0.0016323205084711073, 0.0013969487799009275]",50,0.04,50,0.7,1.5,1.0
PSO,4,0.0030490021427884706,"[-0.0003449545552309248, 0.00041679046521658444, -6.71610745158536e-05, 0.0009727980986480948, -0.00025865848643779563, 0.0014514415932325958]",50,0.04,50,0.7,1.5,1.0
PSO,0,0.017407595675262844,"[0.0010583651397728933, 0.006279258581802868, -0.0016771644087123566, 0.003940786115624326, -0.004522334187898271, -0.004771638273763215]",50,0.04,50,0.7,1.5,1.5
PSO,1,0.038924746650132125,"[-0.0013183069670033645, 0.007101277130882592, -0.006268001211531385, -0.010708381227106855, -0.004091747072548852, -0.015276518867969498]",50,0.04,50,0.7,1.5,1.5
PSO,2,0.034479926804071415,"[0.0006241182621770994, -0.0015116809781046887, -0.006228385558817315, -0.011889474375945078, -0.013085015822823346, -0.0034399806242508043]",50,0.04,50,0.7,1.5,1.5
PSO,3,0.018217391077449907,"[-0.006268951503871995, -0.004854000202123373, -0.0050023429031119775, 0.0013360622621581425, 0.0011662336513462849, 0.004504661156451598]",50,0.04,50,0.7,1.5,1.5
PSO,4,0.016474086733485382,"[-0.0016279988373126345, -0.005390413372600149, -0.00697798546615587, -0.002559655467721765, 0.0008055052729350198, 0.0020838631265625704]",50,0.04,50,0.7,1.5,1.5
